| 序号 | 微生物 | 种类 | 特征和属性 | 关系 | 操作工况描述 | 工况 | 指导意见或处理措施 |
|------|--------|------|------------|------|--------------|------|--------------------|
| 1 | 侧滴虫 | 原生动物 | 身体小，呈肾形，两端浑圆，有两根鞭毛，很快旋转运动 | 少量出现 | 水质良好，清澈透明 | 正常 | 不做处理 |
| 2 | 侧滴虫 | 原生动物 | 身体小，呈肾形，两端浑圆，有两根鞭毛，很快旋转运动 | 共同出现 | 溶解氧不足，污泥解体 | 不正常 | 定期检查溶解氧指数进行调整，减少风机运行台数，减少曝气池间数，只运行部分曝气池 |
| 3 | 豆形虫 | 原生动物 | 身体小，呈豆形，后半部分比前半部宽阔，后端浑圆，内质透明 | 共同出现 | 溶解氧不足，污泥解体 | 不正常 | 定期检查溶解氧指数进行调整，减少风机运行台数，减少曝气池间数，只运行部分曝气池 |
| 4 | 屋滴虫 | 原生动物 | 1根游泳鞭毛，一根舵鞭毛，用伪足摄食 | 共同出现 | 溶解氧不足，污泥解体 | 不正常 | 定期检查溶解氧指数进行调整，减少风机运行台数，减少曝气池间数，只运行部分曝气池 |
| 5 | 屋滴虫 | 原生动物 | 1根游泳鞭毛，一根舵鞭毛，用伪足摄食 | 共同出现 | 污泥净化性能严重恶化 | 不正常 | 投加营养，使生活污水复壮或重新接种 |
| 6 | 多波虫 | 原生动物 | 体型长扁圆，尾部双足 | 共同出现 | 污泥净化性能严重恶化 | 不正常 | 投加营养，使生活污水复壮或重新接种 |
| 7 | 膜袋虫 | 原生动物 | 体小，卵形，右侧有透明的袋状纤毛膜，体毛稀疏，1根尾纤毛 | 共同出现 | 水质趋向于良好 | 正常 | 不做处理 |
| 8 | 尾丝虫 | 原生动物 | 体卵形到长椭圆形，后端浑圆，胞口在前半部左侧 | 共同出现 | 水质趋向于良好 | 正常 | 不做处理 |
| 9 | 斜管虫 | 原生动物 | 椭圆形，前端左缘有“吻”突，背腹平，腹面有纤毛 | 共同出现 | 水质趋向于良好 | 正常 | 不做处理 |
